ID,Sex,Researcher,SVL,TRUNK,LUS,LUZ,LUM,LUT,RUS,RUZ,RUM,RUT,LLS,LLZ,LLM,LLT,RLS,RLZ,RLM,RLT,PG,SG,HL,HH,HW,TL
Pm350,F,EG,55.39,31.41,5.27,6.02,2.75,5.98,5.97,5.71,2.4,5.64,11,8.04,3.38,11.05,12.36,7.96,4.01,10.42,5.78,6.04,12.2,4.78,6.12,89.13
Pm340,F,EG,54.54,27.43,4.67,5.67,2.72,5.4,5.17,5.8,2.35,5.76,11.66,7.6,2.85,11.14,11.01,8.38,3.55,9.93,5.49,5.41,11.74,4.37,6.09,37.36
Pm340,F,EG,55.21,27.42,5.16,5.75,2.79,5.43,5.37,5.96,2.52,5.38,10.85,7.59,2.83,10.23,11.58,8.03,3.63,10.11,5.84,5.43,11.57,4.42,5.9,37.67
Pm366,F,EG,58.43,31.49,6,6.17,2.38,7.62,5.66,6.36,2.96,6.11,13.26,8.24,3.43,11.57,12.21,8.38,4.16,11.9,6.02,5.97,12.19,5.1,6.44,72.44
Pm366,F,EG,58.81,32.9,5.97,6.04,2.35,7.63,5.64,6.62,2.69,6,13.2,8.5,3.6,12.28,12.62,8.28,4.18,11.59,5.86,6.03,12.36,5.23,6.51,72.78
Pm270,F,EG,65.34,38.09,6.69,6.52,2.36,7.18,6.29,6.07,2.62,6.21,12.3,9.16,3.89,12.9,13.69,9.05,3.8,11.78,7.61,5.98,13.67,5.21,6.68,54.95
Pm270,F,EG,65.43,38.68,6.44,6.37,2.33,6.89,6.35,6.24,2.62,6.8,13.28,8.95,3.67,11.42,13.32,9.01,4.03,11.39,7.18,5.99,13.8,5.29,6.59,54.91
Pm333,F,EG,66.78,39.03,5.49,6.98,2.59,6.17,6.23,6.69,3.56,NA,12.89,9.39,3.88,10.43,13.48,9.11,4.39,12.17,6.17,6.81,14.61,6.2,7.82,110.76
Pm333,F,EG,67.69,39.82,5.78,6.6,2.77,6.49,6.8,6.85,3.28,NA,13.9,9.04,3.81,10.54,13.85,8.98,4.06,11.97,5.89,6.45,14.43,6.75,7.39,110.14
Pm284,F,EG,62.29,32.48,6.44,6.9,2.83,6.14,5.87,6.4,2.85,6.1,14.41,8.72,3.32,11.89,13.56,9.73,4.5,11.95,6.72,5.83,13.61,5.44,7.57,87.23
